name	start	end
scaffold53	1	14458053
scaffold29	1	19200852
scaffold36	1	18468921
scaffold203	1	2012421
scaffold137	1	4589323
scaffold152	1	3823029
scaffold52	1	14861450
scaffold114	1	5670907
scaffold98	1	7291409
scaffold211	1	1757200
scaffold55	1	14049273
scaffold89	1	8191048
scaffold23	1	21200954
scaffold86	1	8472343
scaffold67	1	12116482
scaffold68	1	11917868
scaffold47	1	15830963
scaffold208	1	1827582
scaffold160	1	3512219
scaffold188	1	2543315
scaffold126	1	5099541
scaffold83	1	8656630
scaffold204	1	2012201
scaffold194	1	2321085
scaffold229	1	1279157
scaffold209	1	1822182
scaffold81	1	8970480
scaffold145	1	4170063
scaffold61	1	13056691
scaffold14	1	24878108
scaffold167	1	3219439
scaffold85	1	8489889
scaffold177	1	2879622
scaffold62	1	13021217
scaffold93	1	8074579
scaffold197	1	2286196
scaffold185	1	2580440
scaffold147	1	4120610
scaffold132	1	4842961
scaffold230	1	1265343
scaffold206	1	1966159
scaffold49	1	15612493
scaffold223	1	1396885
scaffold75	1	10409821
scaffold190	1	2493095
scaffold69	1	11749185
scaffold195	1	2295786
scaffold184	1	2589123
scaffold112	1	5863114
scaffold189	1	2537305
scaffold123	1	5353798
scaffold180	1	2827012
scaffold144	1	4196923
scaffold234	1	1214669
scaffold231	1	1249258
scaffold140	1	4428592
scaffold113	1	5763424
scaffold221	1	1536650
scaffold129	1	4971180
scaffold220	1	1552443
scaffold122	1	5365856
scaffold218	1	1587078
scaffold125	1	5286133
scaffold187	1	2557842
scaffold121	1	5419996
scaffold191	1	2450392
scaffold183	1	2620022
scaffold233	1	1216773
scaffold235	1	1198703
scaffold120	1	5467217
scaffold127	1	5085361
scaffold210	1	1770077
scaffold166	1	3286445
scaffold101	1	6987485
scaffold216	1	1605513
scaffold99	1	7291360
scaffold163	1	3334071
scaffold109	1	6093881
scaffold219	1	1581481
scaffold200	1	2067537
scaffold157	1	3605245
scaffold232	1	1224896
scaffold156	1	3637004
scaffold236	1	1191397
scaffold199	1	2208610
scaffold212	1	1696392
scaffold179	1	2860456
scaffold143	1	4282462
scaffold178	1	2877893
scaffold225	1	1366380
scaffold205	1	2010443
scaffold168	1	3212679
scaffold181	1	2678829
scaffold82	1	8662009
scaffold224	1	1381485
scaffold108	1	6215732
scaffold215	1	1624138
